"","A","Y","init_est","tmle_est","se","lower","upper"
"1","X2.FL","haz_6m",0.103075688886662,-0.107144443364745,0.421708749410331,-0.93367840417442,0.719389517444931
"2","X3FL","haz_6m",-0.158099945552771,-0.186533977152551,0.170670105839033,-0.521041237834695,0.147973283529594
"3","DFLac","haz_6m",-0.0141174125459454,-0.223291992599373,0.251607661523752,-0.716433947420271,0.269849962221524
"4","X3.SL","haz_6m",-0.0259132541015237,-0.159687942685354,0.213795507791587,-0.578719438013318,0.259343552642609
"5","X6.SL","haz_6m",0.00183692985886002,-0.0506828821206338,0.282362960862901,-0.604104115980012,0.502738351738744
"6","LNT","haz_6m",0.246855197560017,0.646620672565428,0.181310470673537,0.291258680025289,1.00198266510557
"7","LNnT","haz_6m",-0.0359745033969486,-0.378407568924309,0.320860857576817,-1.00728329382351,0.250468155974887
"8","LNFP.I","haz_6m",0.0937424298176067,0.0963232622700035,0.326586131067198,-0.543773792471982,0.736420317011989
"9","LNFP.II","haz_6m",-0.00932386212614161,-0.142898761948608,0.186487009873889,-0.508406584885996,0.22260906098878
"10","LNFP.III","haz_6m",0.11460374632746,0.0642958735154197,0.392307455977396,-0.704612611066809,0.833204358097648
"11","LSTb","haz_6m",0.0517916274975095,0.177517948186298,0.195442676518696,-0.205542658832458,0.560578555205055
"12","LSTc","haz_6m",-0.0749937357625319,-0.151481283595034,0.358595892758267,-0.854316318405226,0.551353751215157
"13","DFLNT","haz_6m",-0.124862748485353,-0.519315920021233,0.244475003824773,-0.99847812263808,-0.0401537174043858
"14","LNH","haz_6m",-0.052885774419091,-0.188692419421669,0.23590456249526,-0.651056865701058,0.273672026857719
"15","DSLNT","haz_6m",0.100444719459343,0.279661016275402,0.259127289323547,-0.228219138210239,0.787541170761044
"16","FLNH","haz_6m",0.0999842540424134,0.263726168082302,0.183182459716889,-0.0953048555622596,0.622757191726863
"17","DFLNH","haz_6m",-0.0126646919552771,-0.0305949222533102,0.179424961772449,-0.382261385254787,0.321071540748166
"18","FDSLNH","haz_6m",-0.0721209139834498,-0.0933342516336812,0.232578025726446,-0.549178805652945,0.362510302385583
"19","DSLNH","haz_6m",-0.02890087820989,-0.132032973719993,0.305209797334464,-0.730233184224312,0.466167236784326
"20","SUM","haz_6m",0.0657615065383511,-0.114954955448469,0.459915387359849,-1.01637255060956,0.786462639712623
"21","Sia","haz_6m",0.0478135678076524,0.172480270065904,0.282628733592731,-0.381461868772015,0.726422408903824
"22","Fuc","haz_6m",-0.0259588349565714,-0.329747809935877,0.390925039470723,-1.09594680795339,0.436451188081639
